Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,user_id,transaction_date,status,age,subscription,raw_timestamp,email,username,store_id,price
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,USR01004,2014-06-09,Returned,24,Basic,2014-06-09 00:49:21,brosina.hoffman935@yahoo.com,broshof73,STR002,911.424
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,USR01005,2017-04-15,Pending,22,Basic,2017-04-15 21:46:25,andrew.allen868@hotmail.com,andrall701,STR004,15.552
14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,USR01006,2016-12-05,Completed,45,Basic,2016-12-05 09:02:25,irene.maddox570@hotmail.com,irenmad812,STR005,407.976
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,USR01007,2015-11-22,Completed,30,Basic,22-11-2015 21:04,harold.pawlan220@gmail.com,haropaw509,STR006,68.81
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,USR01007,2015-11-22,Completed,52,Basic,2015-11-22 14:19:29,harold.pawlan212@outlook.com,haropaw69,STR006,
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,USR01008,2014-11-11,Completed,19,Premium,2014-11-11 00:26:56,pete.kriz633@gmail.com,petekri98,STR007,665.88
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,USR01009,2014-05-13,Completed,40,Basic,2014-05-13 20:40:47,alejandro.grove229@hotmail.com,alejgro365,STR008,55.5
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,USR01010,2014-08-27,Completed,43,Premium,2014-08-27 14:57:14,zuschuss.donatelli661@gmail.com,zuscdon560,STR002,8.56
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,USR01010,2014-08-27,Completed,39,Standard,2014-08-27 07:05:49,zuschuss.donatelli713@outlook.com,zuscdon378,STR002,213.48
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,USR01010,2014-08-27,Shipped,23,Standard,2014-08-27 20:06:01,zuschuss.donatelli965@outlook.com,zuscdon501,STR002,22.72
22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,USR01011,2016-12-09,,38,Standard,09-12-2016 05:03,ken.black687@outlook.com,kenbla655,STR009,19.46
23,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,USR01011,2016-12-09,Completed,31,Standard,2016-12-09 14:03:38,ken.black203@hotmail.com,kenbla865,STR009,60.34
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,USR01012,2017-07-16,Completed,39,Basic,2017-07-16 02:28:02,sandra.flanagan229@gmail.com,sandfla896,STR010,71.372
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,USR01013,2015-09-25,Completed,19,Premium,2015-09-25 22:44:04,emily.burns836@gmail.com,emilbur414,STR008,1044.63
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,USR01014,2016-01-16,Shipped,28,Basic,2016-01-16 12:26:48,,erichof941,STR002,11.648
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,USR01014,2016-01-16,Completed,38,Standard,2016-01-16 06:15:00,eric.hoffmann225@hotmail.com,erichof27,STR002,90.57
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,USR01015,2015-09-17,Completed,20,Basic,2015-09-17 22:36:50,tracy.blumstein258@yahoo.com,tracblu377,STR010,3083.43
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,USR01015,2015-09-17,Shipped,26,Premium,17-09-2015 02:35,tracy.blumstein329@gmail.com,tracblu266,STR010,9.618
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,USR01015,2015-09-17,Completed,25,Standard,2015-09-17 14:49:43,tracy.blumstein500@outlook.com,tracblu230,STR010,124.2
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,USR01015,2015-09-17,Shipped,43,Standard,2015-09-17 18:28:33,,tracblu282,STR010,3.264
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,USR01015,2015-09-17,Completed,28,Standard,2015-09-17 07:26:50,tracy.blumstein403@yahoo.com,tracblu974,STR010,86.304
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,USR01015,2015-09-17,Completed,35,Premium,2015-09-17 06:58:37,tracy.blumstein959@outlook.com,tracblu386,STR010,6.858
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,USR01015,2015-09-17,Cancelled,18,Premium,2015-09-17 20:04:18,tracy.blumstein807@yahoo.com,tracblu256,STR010,
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,USR01016,2017-10-19,Returned,42,Premium,2017-10-19 22:33:26,matt.abelman652@hotmail.com,mattabe891,STR006,29.472
36,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,USR01017,2016-12-08,Pending,28,Standard,08-12-2016 03:40,gene.hale614@hotmail.com,genehal399,STR006,1097.544
37,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,USR01017,2016-12-08,Completed,28,Basic,2016-12-08 11:36:10,gene.hale498@gmail.com,genehal579,STR006,190.92
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,USR01018,2015-12-27,Completed,55,Premium,2015-12-27 12:34:32,steve.nguyen251@hotmail.com,,STR006,
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,USR01018,2015-12-27,Shipped,37,Standard,2015-12-27 19:34:21,steve.nguyen982@hotmail.com,stevngu182,STR006,532.3992
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,USR01018,2015-12-27,Completed,38,Basic,2015-12-27 23:04:13,steve.nguyen661@gmail.com,stevngu337,STR006,212.058
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,USR01018,2015-12-27,Completed,50,Standard,2015-12-27 17:08:44,steve.nguyen757@yahoo.com,stevngu132,STR006,371.168
42,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,USR01019,2017-09-10,Completed,53,Standard,2017-09-10 04:13:38,linda.cazamias503@yahoo.com,lindcaz738,STR011,147.168
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,USR01020,2016-07-17,Completed,39,Premium,17-07-2016 10:27,ruben.ausman098@outlook.com,rubeaus476,STR002,77.88
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,USR01021,2017-09-19,Cancelled,27,Premium,2017-09-19 11:32:08,erin.smith830@outlook.com,erinsmi645,STR003,95.616
45,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,USR01022,2016-03-11,Completed,31,Premium,2016-03-11 14:29:12,odella.nelson890@yahoo.com,odelnel825,STR012,45.98
46,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,USR01022,2016-03-11,Shipped,31,Standard,2016-03-11 02:38:33,odella.nelson407@hotmail.com,odelnel699,STR012,17.46
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,USR01023,2014-10-20,Completed,34,Standard,2014-10-20 11:13:54,patrick.o'donnell714@outlook.com,patro'd240,STR013,211.96
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,USR01024,2016-06-20,Completed,39,Basic,2016-06-20 12:08:24,lena.hernandez528@yahoo.com,lenaher321,STR014,45.0
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,USR01024,2016-06-20,,37,Basic,2016-06-20 21:45:53,lena.hernandez425@hotmail.com,lenaher658,STR014,21.8
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,USR01025,2015-04-18,Completed,44,Basic,18-04-2015 20:15,darren.powers723@hotmail.com,darrpow485,STR015,38.22
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,USR01025,2015-04-18,Returned,41,Standard,2015-04-18 16:55:22,darren.powers964@yahoo.com,darrpow199,STR015,75.18
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,USR01025,2015-04-18,Shipped,33,Standard,2015-04-18 13:58:13,darren.powers512@gmail.com,darrpow510,STR015,6.16
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,USR01025,2015-04-18,,33,Standard,2015-04-18 15:21:12,darren.powers352@yahoo.com,darrpow642,STR015,89.99
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,USR01026,2016-12-11,Pending,32,Standard,2016-12-11 19:32:48,janet.molinari206@hotmail.com,janemol296,STR016,15.26
55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,USR01026,2016-12-11,Shipped,27,Standard,2016-12-11 02:24:30,janet.molinari298@outlook.com,janemol330,STR016,1029.95
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,USR01027,2016-06-17,Cancelled,37,Basic,2016-06-17 07:43:29,ted.butterfield026@hotmail.com,tedbut882,STR016,208.56
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,USR01027,2016-06-17,Completed,32,Premium,17-06-2016 05:01,ted.butterfield219@hotmail.com,tedbut70,STR016,32.4
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,USR01027,2016-06-17,Completed,18,Standard,2016-06-17 22:25:02,ted.butterfield547@yahoo.com,tedbut147,STR016,319.41
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,USR01027,2016-06-17,Completed,27,Standard,2016-06-17 01:30:59,ted.butterfield810@hotmail.com,tedbut958,STR016,14.56
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,USR01027,2016-06-17,Completed,19,Basic,2016-06-17 07:54:36,ted.butterfield444@gmail.com,tedbut135,STR016,30.0
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,USR01027,2016-06-17,Completed,24,Premium,2016-06-17 17:18:09,ted.butterfield769@outlook.com,tedbut713,STR016,48.48
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,USR01027,2016-06-17,Completed,31,Premium,2016-06-17 07:32:57,ted.butterfield043@yahoo.com,tedbut201,STR016,1.68
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,USR01028,2015-11-24,Pending,33,Basic,2015-11-24 00:57:03,kunst.miller821@gmail.com,,STR002,
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,USR01028,2015-11-24,Completed,44,Premium,24-11-2015 16:56,kunst.miller442@outlook.com,kunsmil223,STR002,25.824
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,USR01028,2015-11-24,Completed,45,Standard,2015-11-24 05:39:20,kunst.miller294@gmail.com,kunsmil202,STR002,146.73
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,USR01028,2015-11-24,Completed,32,Basic,2015-11-24 18:35:34,kunst.miller850@hotmail.com,,STR002,79.76
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,USR01029,2015-04-30,Completed,34,Basic,2015-04-30 08:23:52,paul.stevenson989@hotmail.com,paulste663,STR011,213.115
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,USR01030,2014-12-05,Pending,37,Premium,2014-12-05 12:29:00,brendan.sweed981@gmail.com,brenswe32,STR017,1113.024
69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,USR01030,2014-12-05,Completed,49,Standard,2014-12-05 01:29:21,brendan.sweed424@outlook.com,brenswe752,STR017,167.968
70,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,USR01031,2016-06-04,Returned,27,Premium,2016-06-04 00:23:21,karen.daniels039@gmail.com,karedan392,STR018,75.88
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,USR01032,2016-09-18,Shipped,26,Standard,18-09-2016 18:35,henry.macallister274@gmail.com,henrmac165,STR016,4.616
